Monthly Climate Data Summaries ( por - por )

Station:,SPOKANE INTL AP,State:,WA,ID:,24157
Latitude:,47.62167 degreeN,Longitude:,117.52806 degreeW,Elevation:,2358.0 feet
Station period of record:,maxt: 02/01/1881-10/23/2019; mint: 02/01/1881-10/23/2019; avgt: 02/01/1881-10/23/2019; hdd: 02/01/1881-10/23/2019; cdd: 02/01/1881-10/23/2019; pcpn: 02/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,OCT,55.6,37.8,46.7,79,05,21,14,0,0,0,0,4,0,0,557,0,2.23,41,1899-10-19,9,3,1,1,0
1899,NOV,51.6,38.4,45.0,65,14,28,25,0,0,0,0,4,0,0,592,0,3.85,92,1899-11-29,17,7,4,0,0
1899,DEC,37.9,28.5,33.2,50,23,13,19,0,0,5,0,26,0,0,979,0,1.77,56,1899-12-11,14,5,1,0,0
1899,ANNUAL,56.7,38.0,47.36,98,,-21,,0,10,28,0,108,0,10,6610,267,20.08,,1.41,134,56,11,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,42.1,29.4,35.8,52,12,15,28,0,0,2,0,20,0,0,898,0,1.39,31,1900-01-12,12,5,0,0,0
1900,FEB,37.9,25.0,31.5,51,28,1,15,0,0,10,0,21,0,0,932,0,1.19,28,1900-02-21,8,5,0,0,0
1900,MAR,54.9,35.4,45.1,69,31,25,05,0,0,0,0,11,0,0,607,0,2.25,58,1900-03-04,13,8,1,0,0
1900,APR,62.2,40.0,51.1,80,30,28,09,0,0,0,0,2,0,0,411,0,1.09,40,1900-04-07,10,3,0,0,0
1900,MAY,69.2,45.6,57.4,82,03,37,31,0,0,0,0,0,0,0,233,7,2.12,97,1900-05-16,14,5,1,0,0
1900,JUN,78.2,53.8,66.0,93,20,42,09,0,2,0,0,0,0,0,42,82,0.42,23,1900-06-25,5,1,0,0,0
1900,JUL,84.4,54.8,69.6,100,24,47,13,0,11,0,0,0,0,0,30,180,0.34,33,1900-07-05,2,1,0,0,0
1900,AUG,75.7,52.3,64.0,88,20,42,26,0,0,0,0,0,0,0,68,47,0.64,12,1900-08-12,8,2,0,0,0
1900,SEP,69.3,47.2,58.2,86,07,31,26,0,0,0,0,1,0,0,205,10,1.65,67,1900-09-17,9,4,1,0,0
1900,OCT,56.6,39.7,48.1,69,16,28,27,0,0,0,0,3,0,0,512,0,2.55,48,1900-10-25,16,9,0,0,0
1900,NOV,40.9,27.5,34.2,51,12,-10,21,0,0,5,0,19,0,2,918,0,2.21,63,1900-11-02,12,7,2,0,0
1900,DEC,41.2,33.0,37.1,53,05,13,31,0,0,2,0,13,0,0,858,0,2.87,68,1900-12-20,15,9,2,0,0
1900,ANNUAL,59.5,40.4,49.97,100,,-10,,0,13,19,0,90,0,2,5714,326,18.72,,0.97,124,59,7,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,35.9,24.2,30.1,50,27,10,10,0,0,9,0,28,0,0,1074,0,2.29,55,1901-01-14,15,6,1,0,0
1901,FEB,39.3,24.7,32.0,59,28,10,10,0,0,2,0,22,0,0,917,0,2.71,77,1901-02-20,14,8,1,0,0
1901,MAR,50.3,32.8,41.5,64,15,26,05,0,0,0,0,16,0,0,719,0,1.08,24,1901-03-22,10,5,0,0,0
1901,APR,56.3,34.8,45.5,68,29,25,03,0,0,0,0,10,0,0,577,0,1.14,77,1901-04-05,8,2,1,0,0
1901,MAY,69.2,46.6,57.9,86,27,33,10,0,0,0,0,0,0,0,235,21,1.26,34,1901-05-16,11,4,0,0,0
1901,JUN,67.7,46.0,56.8,86,18,35,04,0,0,0,0,0,0,0,251,12,1.05,32,1901-06-12,10,4,0,0,0
1901,JUL,81.4,53.7,67.6,95,30,45,03,0,3,0,0,0,0,0,27,114,0.61,41,1901-07-03,2,2,0,0,0
1901,AUG,88.4,57.0,72.7,99,15,50,30,0,12,0,0,0,0,0,1,247,0.01,01,1901-08-20,1,0,0,0,0
1901,SEP,65.0,45.0,55.0,76,20,33,30,0,0,0,0,0,0,0,296,2,2.07,38,1901-09-08,13,7,0,0,0
1901,OCT,66.9,40.9,53.9,78,02,34,17,0,0,0,0,0,0,0,334,1,0.25,08,1901-10-30,4,0,0,0,0
1901,NOV,47.7,34.2,41.0,57,27,25,11,0,0,0,0,10,0,0,712,0,2.61,03,1901-11-22,13,7,2,1,0
1901,DEC,38.1,28.1,33.1,49,01,15,12,0,0,6,0,23,0,0,979,0,0.91,23,1901-12-01,12,4,0,0,0
1901,ANNUAL,59.0,39.1,49.05,99,,10,,0,15,17,0,109,0,0,6122,397,15.99,,1.03,113,49,5,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,JAN,34.1,21.5,27.8,54,07,-12,27,0,0,13,0,25,0,5,1143,0,1.29,36,1902-01-30,11,4,0,0,0
1902,FEB,42.3,29.7,36.0,52,16,-6,01,0,0,3,0,13,0,1,804,0,3.71,59,1902-02-12,20,11,2,0,0
1902,MAR,48.1,31.5,39.8,61,31,22,30,0,0,0,0,16,0,0,774,0,0.87,20,1902-03-07,13,3,0,0,0
1902,APR,57.0,36.2,46.6,68,01,29,14,0,0,0,0,8,0,0,544,0,1.80,52,1902-04-19,12,8,1,0,0
1902,MAY,65.1,45.8,55.5,85,27,38,18,0,0,0,0,0,0,0,297,6,1.83,30,1902-05-22,15,7,0,0,0
1902,JUN,72.4,49.0,60.7,87,22,40,05,0,0,0,0,0,0,0,149,30,0.45,31,1902-06-01,7,1,0,0,0
1902,JUL,77.0,52.8,64.9,94,20,44,07,0,4,0,0,0,0,0,98,104,1.71,77,1902-07-04,5,3,2,0,0
1902,AUG,81.4,51.9,66.7,94,07,40,30,0,4,0,0,0,0,0,49,107,0.38,17,1902-08-18,4,2,0,0,0
