Monthly Climate Data Summaries ( por - por )

Station:,SAN FRANCISCO DOWNTOWN,State:,CA,ID:,23272
Latitude:,37.7705 degreeN,Longitude:,122.4269 degreeW,Elevation:,150.0 feet
Station period of record:,maxt: 06/01/1874-10/22/2019; mint: 01/01/1875-10/22/2019; avgt: 01/01/1875-10/22/2019; hdd: 01/01/1875-10/22/2019; cdd: 01/01/1875-10/22/2019; pcpn: 01/01/1875-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,ANNUAL,59.9,48.8,54.17,88,,36,,33,0,0,0,0,0,0,3554,45,9.31,,0.89,50,23,5,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,58.3,47.6,53.0,78,26,40,04,0,0,0,0,0,0,0,372,7,3.67,93,1899-01-07,11,9,2,0,0
1899,FEB,58.0,45.3,51.7,80,18,34,04,0,0,0,0,0,0,0,368,3,0.10,08,1899-02-01,2,0,0,0,0
1899,MAR,57.3,47.1,52.2,74,06,42,16,0,0,0,0,0,0,0,388,0,7.61,15,1899-03-22,15,10,5,2,0
1899,APR,61.6,47.9,54.8,80,20,43,24,1,0,0,0,0,0,0,295,4,0.62,45,1899-04-24,5,1,0,0,0
1899,MAY,58.3,46.9,52.6,80,10,43,20,0,0,0,0,0,0,0,379,1,0.86,76,1899-05-31,2,2,1,0,0
1899,JUN,M,50.4,M,M,M,47,17,30,M,M,0,0,0,0,M,M,0.01,01,1899-06-01,1,0,0,0,0
1899,JUL,61.5,50.3,55.9,73,22,48,18,0,0,0,0,0,0,0,275,0,0.00,00,1899-07-31,0,0,0,0,0
1899,AUG,63.7,53.1,58.5,78,22,50,30,2,0,0,0,0,0,0,184,3,T,T,1899-08-16,0,0,0,0,0
1899,SEP,64.9,51.3,58.1,73,13,48,23,0,0,0,0,0,0,0,198,0,0.00,00,1899-09-30,0,0,0,0,0
1899,OCT,66.1,52.5,59.3,94,08,46,13,0,1,0,0,0,0,0,208,38,3.72,80,1899-10-21,8,4,2,2,2
1899,NOV,60.8,52.6,56.7,65,14,48,23,0,0,0,0,0,0,0,242,0,3.79,51,1899-11-21,12,10,2,1,0
1899,DEC,54.5,44.2,49.4,63,05,37,28,0,0,0,0,0,0,0,477,0,2.65,91,1899-12-14,10,6,2,0,0
1899,ANNUAL,60.4,49.1,54.71,94,,34,,33,1,0,0,0,0,0,3386,56,23.03,,2.15,66,42,14,5,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,54.7,46.7,50.7,64,17,42,23,0,0,0,0,0,0,0,435,0,4.11,56,1900-01-03,7,6,4,1,0
1900,FEB,59.4,47.8,53.5,68,24,44,01,0,0,0,0,0,0,0,315,0,0.64,50,1900-02-20,6,1,1,0,0
1900,MAR,61.0,49.1,55.1,71,12,43,04,0,0,0,0,0,0,0,300,0,1.91,69,1900-03-08,6,4,1,0,0
1900,APR,59.6,48.4,53.9,69,15,45,26,1,0,0,0,0,0,0,315,0,1.08,26,1900-04-02,6,5,0,0,0
1900,MAY,63.5,50.6,57.1,71,20,47,30,0,0,0,0,0,0,0,237,0,0.32,22,1900-05-10,2,2,0,0,0
1900,JUN,M,51.6,M,M,M,47,02,30,M,M,0,0,0,0,M,M,0.05,04,1900-06-15,2,0,0,0,0
1900,JUL,64.6,51.9,58.2,73,06,48,15,0,0,0,0,0,0,0,201,0,T,T,1900-07-21,0,0,0,0,0
1900,AUG,65.4,53.9,59.6,82,02,50,08,2,0,0,0,0,0,0,159,9,T,T,1900-08-16,0,0,0,0,0
1900,SEP,70.4,56.2,63.3,92,21,47,30,0,2,0,0,0,0,0,91,48,0.46,45,1900-09-12,2,1,0,0,0
1900,OCT,65.1,52.4,58.7,83,09,48,30,0,0,0,0,0,0,0,196,9,1.18,32,1900-10-04,8,5,0,0,2
1900,NOV,62.2,50.4,56.3,79,12,45,30,0,0,0,0,0,0,0,257,6,3.91,40,1900-11-21,9,6,3,1,0
1900,DEC,55.1,45.4,50.2,63,27,40,31,0,0,0,0,0,0,0,450,0,1.37,70,1900-12-16,6,3,1,0,0
1900,ANNUAL,61.9,50.4,56.06,92,,40,,33,2,0,0,0,0,0,2956,72,15.03,,1.56,54,33,10,2,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,54.6,45.0,49.8,62,27,37,01,0,0,0,0,0,0,0,463,0,5.79,75,1901-01-06,11,8,6,2,0
1901,FEB,57.9,46.3,52.1,75,28,38,09,0,0,0,0,0,0,0,354,0,5.03,95,1901-02-23,12,6,4,1,0
1901,MAR,62.7,48.9,55.8,78,03,44,30,0,0,0,0,0,0,0,282,6,0.80,65,1901-03-10,3,2,1,0,0
1901,APR,58.1,45.6,51.8,72,09,41,03,1,0,0,0,0,0,0,378,0,1.64,72,1901-04-29,5,4,2,0,0
1901,MAY,59.6,48.2,53.9,81,31,46,18,0,0,0,0,0,0,0,339,2,0.69,26,1901-05-21,4,3,0,0,0
1901,JUN,M,49.2,M,M,M,47,20,30,M,M,0,0,0,0,M,M,T,T,1901-06-19,0,0,0,0,0
1901,JUL,62.0,49.3,55.7,75,31,47,15,0,0,0,0,0,0,0,282,0,T,T,1901-07-31,0,0,0,0,0
1901,AUG,61.3,51.7,56.5,72,01,49,04,2,0,0,0,0,0,0,240,0,T,T,1901-08-31,0,0,0,0,0
1901,SEP,64.2,52.8,58.5,78,03,50,17,0,0,0,0,0,0,0,192,4,0.78,67,1901-09-23,3,1,1,0,0
1901,OCT,69.0,54.5,61.7,91,12,50,29,0,1,0,0,0,0,0,136,41,0.64,43,1901-10-27,5,1,0,0,0
1901,NOV,62.2,52.3,57.2,75,04,49,17,0,0,0,0,0,0,0,223,2,3.48,20,1901-11-21,10,8,2,1,0
1901,DEC,58.6,47.2,52.9,72,24,41,15,0,0,0,0,0,0,0,369,0,0.90,34,1901-12-02,5,3,0,0,0
