Monthly Climate Data Summaries ( por - por )

Station:,NY CITY CENTRAL PARK,State:,NY,ID:,94728
Latitude:,40.77898 degreeN,Longitude:,73.96925 degreeW,Elevation:,140.0 feet
Station period of record:,maxt: 01/01/1869-10/23/2019; mint: 01/01/1869-10/23/2019; avgt: 01/01/1869-10/23/2019; hdd: 01/01/1869-10/23/2019; cdd: 01/01/1869-10/23/2019; pcpn: 01/01/1869-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,ANNUAL,60.8,47.4,54.10,95,,-6,,0,16,23,0,80,11,3,5099,1207,38.57,,2.29,113,68,26,11,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,38.7,25.5,32.1,57,20,10,31,0,0,5,0,24,0,0,1011,0,4.22,46,1900-01-11,11,7,3,2,0
1900,FEB,37.4,23.6,30.5,57,13,5,27,0,0,7,0,22,0,0,961,0,5.38,31,1900-02-13,10,9,4,2,0
1900,MAR,40.7,26.3,33.5,55,06,11,18,0,0,5,0,26,0,0,969,0,3.49,93,1900-03-01,9,6,3,0,0
1900,APR,58.0,42.7,50.4,74,30,30,11,0,0,0,0,5,0,0,432,0,2.02,72,1900-04-12,8,5,2,0,0
1900,MAY,68.3,50.9,59.6,90,15,40,10,0,1,0,0,0,0,0,202,43,3.72,02,1900-05-19,11,6,1,1,0
1900,JUN,79.0,63.4,71.2,92,27,55,05,0,2,0,0,0,0,0,6,200,2.20,02,1900-06-08,10,4,1,1,0
1900,JUL,85.8,69.6,77.7,97,17,56,01,0,8,0,0,0,4,0,1,401,3.21,22,1900-07-26,11,8,2,1,0
1900,AUG,84.7,69.7,77.2,96,11,59,04,0,9,0,0,0,5,0,0,386,4.52,26,1900-08-26,8,8,3,1,0
1900,SEP,77.6,64.2,70.9,92,06,50,19,0,1,0,0,0,0,0,23,208,2.50,26,1900-09-16,8,5,1,1,0
1900,OCT,67.4,55.5,61.5,80,08,38,20,0,0,0,0,0,0,0,144,41,3.56,37,1900-10-14,11,5,2,2,0
1900,NOV,54.9,43.3,49.1,74,21,30,16,0,0,0,0,3,0,0,473,0,4.36,90,1900-11-26,11,6,2,2,0
1900,DEC,41.7,30.6,36.2,59,24,13,15,0,0,5,0,16,0,0,885,0,2.01,40,1900-12-04,6,3,1,1,0
1900,ANNUAL,61.3,47.2,54.28,97,,5,,0,21,22,0,96,9,0,5107,1279,41.19,,2.02,114,72,25,14,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,38.2,26.9,32.6,53,16,8,19,0,0,6,0,22,0,0,998,0,1.66,90,1901-01-11,11,3,1,0,0
1901,FEB,31.6,21.3,26.4,42,26,14,14,0,0,18,0,28,0,0,1073,0,0.55,23,1901-02-04,5,2,0,0,0
1901,MAR,44.9,31.7,38.3,53,21,12,06,0,0,1,0,14,0,0,818,0,5.47,94,1901-03-11,14,7,2,2,0
1901,APR,54.1,42.7,48.4,80,30,36,02,0,0,0,0,0,0,0,491,2,6.62,81,1901-04-20,12,7,6,2,0
1901,MAY,64.5,51.5,58.0,85,24,44,06,0,0,0,0,0,0,0,225,13,6.43,37,1901-05-27,16,11,4,3,0
1901,JUN,80.4,61.8,71.1,95,30,53,17,0,5,0,0,0,2,0,13,204,1.00,44,1901-06-07,5,4,0,0,0
1901,JUL,85.8,71.7,78.7,100,02,61,27,0,10,0,0,0,9,0,0,434,7.64,07,1901-07-05,16,9,4,3,0
1901,AUG,81.7,69.3,75.5,92,10,63,02,0,1,0,0,0,3,0,0,335,6.55,47,1901-08-24,9,7,4,2,0
1901,SEP,75.3,61.5,68.4,88,15,47,26,0,0,0,0,0,0,0,49,157,2.42,71,1901-09-01,12,6,2,0,0
1901,OCT,62.9,49.4,56.1,75,23,38,25,0,0,0,0,0,0,0,277,8,2.35,20,1901-10-14,4,3,2,1,0
1901,NOV,44.1,35.3,39.7,60,01,19,28,0,0,2,0,10,0,0,749,0,0.99,79,1901-11-24,5,2,1,0,0
1901,DEC,41.2,30.5,35.8,60,15,17,06,0,0,9,0,15,0,0,898,0,7.01,52,1901-12-29,15,8,4,3,0
1901,ANNUAL,58.9,46.3,52.59,100,,8,,0,16,36,0,89,14,0,5591,1153,48.69,,3.07,124,69,30,16,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,JAN,36.3,24.5,30.4,51,22,13,01,0,0,10,0,29,0,0,1063,0,2.27,80,1902-01-21,11,7,1,0,0
1902,FEB,34.6,24.7,29.6,54,27,14,05,0,0,12,0,24,0,0,984,0,5.39,86,1902-02-21,9,8,5,1,0
1902,MAR,50.8,38.1,44.5,67,13,23,19,0,0,1,0,6,0,0,626,0,4.84,05,1902-03-05,13,9,5,1,0
1902,APR,57.4,44.2,50.8,84,22,37,15,0,0,0,0,0,0,0,428,9,3.03,27,1902-04-08,7,4,3,1,0
1902,MAY,67.0,51.6,59.3,86,23,38,10,0,0,0,0,0,0,0,200,31,1.35,64,1902-05-27,7,3,1,0,0
1902,JUN,75.2,59.3,67.2,88,13,50,09,0,0,0,0,0,0,0,25,99,6.48,70,1902-06-21,14,10,5,2,0
1902,JUL,80.0,66.5,73.2,90,09,60,17,0,1,0,0,0,0,0,0,262,5.59,06,1902-07-28,12,9,2,1,0
1902,AUG,79.5,65.3,72.4,89,11,57,17,0,0,0,0,0,1,0,0,236,4.30,25,1902-08-06,8,6,2,1,0
