Monthly Climate Data Summaries ( por - por )

Station:,EVANSVILLE REGIONAL AP,State:,IN,ID:,93817
Latitude:,38.0441 degreeN,Longitude:,87.5205 degreeW,Elevation:,400.0 feet
Station period of record:,maxt: 08/01/1896-10/22/2019; mint: 08/01/1896-10/22/2019; avgt: 08/01/1896-10/22/2019; hdd: 08/01/1896-10/22/2019; cdd: 08/01/1896-10/22/2019; pcpn: 08/01/1896-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1895,JAN,M,M,M,M,M,M,M,31,M,M,31,M,M,M,M,M,M,M,M,M,M,M,M,31
1899,DEC,42.1,27.6,34.8,62,11,4,31,0,0,10,0,21,0,0,929,0,3.63,57,1899-12-11,11,7,3,1,0
1899,ANNUAL,65.5,48.9,57.20,98,,-15,,0,50,34,0,80,11,7,4596,1842,42.48,,1.70,120,81,31,10,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,45.3,30.6,38.0,64,23,6,31,0,0,6,0,14,0,0,831,0,1.89,70,1900-01-11,9,5,1,0,0
1900,FEB,40.8,23.5,32.2,69,08,-2,17,0,0,7,0,23,0,1,912,0,4.20,93,1900-02-08,13,10,3,0,0
1900,MAR,50.8,34.1,42.5,73,11,13,17,0,0,2,0,11,0,0,691,0,1.55,48,1900-03-05,9,5,0,0,0
1900,APR,66.9,48.0,57.4,84,29,31,12,0,0,0,0,1,0,0,241,23,1.17,33,1900-04-11,7,5,0,0,0
1900,MAY,78.0,57.8,67.9,90,16,41,10,0,1,0,0,0,0,0,47,147,5.59,78,1900-05-30,12,8,3,2,0
1900,JUN,82.2,66.8,74.5,91,29,55,03,0,1,0,0,0,2,0,1,293,11.44,71,1900-06-15,16,7,5,5,0
1900,JUL,87.8,70.7,79.3,92,07,62,27,0,13,0,0,0,5,0,0,450,2.44,27,1900-07-19,7,6,1,1,0
1900,AUG,93.6,73.3,83.4,100,21,67,02,0,29,0,0,0,12,0,0,579,0.95,29,1900-08-22,4,4,0,0,0
1900,SEP,84.9,65.8,75.3,96,09,46,18,0,13,0,0,0,0,0,16,332,4.24,30,1900-09-02,10,6,2,1,0
1900,OCT,76.1,56.3,66.2,91,03,43,17,0,1,0,0,0,0,0,68,114,3.46,15,1900-10-07,7,5,1,1,0
1900,NOV,56.2,39.0,47.6,78,22,23,14,0,0,0,0,9,0,0,513,1,5.30,27,1900-11-20,11,5,4,2,0
1900,DEC,45.9,32.2,39.0,64,22,17,31,0,0,0,0,17,0,0,794,0,1.99,83,1900-12-23,9,6,1,0,0
1900,ANNUAL,67.5,50.0,58.78,100,,-2,,0,58,15,0,75,19,1,4114,1939,44.22,,4.71,114,72,21,12,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,JAN,45.0,29.7,37.3,65,08,14,01,0,0,4,0,18,0,0,850,0,1.05,38,1901-01-10,6,3,0,0,0
1901,FEB,38.6,24.6,31.6,65,17,13,23,0,0,7,0,27,0,0,926,0,1.34,60,1901-02-28,9,3,1,0,0
1901,MAR,54.0,36.9,45.4,76,24,12,06,0,0,1,0,8,0,0,601,1,3.46,22,1901-03-10,13,5,3,1,0
1901,APR,61.4,43.9,52.6,82,30,32,21,0,0,0,0,1,0,0,380,14,2.99,07,1901-04-17,12,5,3,1,0
1901,MAY,74.0,55.6,64.8,89,01,45,13,0,0,0,0,0,0,0,91,92,1.03,34,1901-05-28,9,4,0,0,0
1901,JUN,88.4,68.0,78.2,99,22,53,08,0,13,0,0,0,6,0,4,406,4.25,53,1901-06-26,12,6,3,2,0
1901,JUL,95.2,73.7,84.5,107,22,58,08,0,27,0,0,0,17,0,0,611,0.18,16,1901-07-30,2,1,0,0,0
1901,AUG,86.6,67.7,77.2,95,09,60,06,0,9,0,0,0,0,0,0,383,2.07,02,1901-08-23,9,5,1,1,0
1901,SEP,81.5,60.1,70.8,95,08,42,19,0,5,0,0,0,0,0,38,217,1.82,50,1901-09-11,8,6,1,0,0
1901,OCT,71.6,50.0,60.8,83,01,38,18,0,0,0,0,0,0,0,149,25,4.48,18,1901-10-12,3,2,1,1,0
1901,NOV,52.7,34.8,43.8,73,11,23,17,0,0,0,0,11,0,0,630,0,1.71,64,1901-11-03,5,4,1,0,0
1901,DEC,37.4,23.5,30.4,65,13,-6,15,0,0,10,0,22,0,5,1064,0,4.65,87,1901-12-13,9,5,4,2,0
1901,ANNUAL,65.7,47.5,56.60,107,,-6,,0,54,22,0,87,23,5,4733,1749,29.03,,4.18,97,49,18,8,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
