Monthly Climate Data Summaries ( por - por )

Station:,SALEM AP (MCNARY FIELD),State:,OR,ID:,24232
Latitude:,44.905 degreeN,Longitude:,123.0011 degreeW,Elevation:,205.0 feet
Station period of record:,maxt: 01/01/1893-10/23/2019; mint: 01/01/1893-10/23/2019; avgt: 01/01/1893-10/23/2019; hdd: 01/01/1893-10/23/2019; cdd: 01/01/1893-10/23/2019; pcpn: 01/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,OCT,65.9,41.3,53.6,86,03,23,16,0,0,0,0,3,0,0,347,0,1.07,32,1902-10-15,10,2,0,0,0
1902,NOV,51.5,36.6,44.0,60,10,20,22,0,0,0,0,10,0,0,624,0,7.98,33,1902-11-02,22,17,5,2,0
1902,DEC,47.5,35.3,41.7,56,24,19,28,1,0,0,1,7,0,0,667,0,7.49,09,1902-12-04,22,14,7,1,0
1902,ANNUAL,58.9,40.1,49.58,91,,12,,64,2,3,65,44,0,0,4581,55,40.54,,1.45,145,97,25,6,64

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,JAN,48.1,38.3,43.2,57,21,29,15,0,0,0,0,6,0,0,668,0,4.56,00,1903-01-24,15,10,1,1,0
1903,FEB,47.0,33.5,40.2,60,27,23,14,0,0,0,0,14,0,0,687,0,0.88,21,1903-02-10,8,4,0,0,0
1903,MAR,53.7,36.9,45.3,67,23,29,12,0,0,0,0,6,0,0,601,0,2.73,77,1903-03-11,10,7,1,0,0
1903,APR,56.8,40.7,48.4,69,24,31,12,1,0,0,1,2,0,0,460,0,1.20,22,1903-04-21,13,5,0,0,1
1903,MAY,64.4,46.9,55.6,80,30,38,07,0,0,0,0,0,0,0,287,4,1.09,20,1903-05-15,11,5,0,0,0
1903,JUN,72.1,53.4,62.7,98,07,43,03,0,3,0,0,0,0,0,98,37,1.30,57,1903-06-15,7,4,1,0,0
1903,JUL,73.6,53.6,63.6,87,19,48,25,0,0,0,0,0,0,0,68,34,0.40,29,1903-07-05,2,2,0,0,0
1903,AUG,76.0,54.5,65.3,87,17,46,16,0,0,0,0,0,0,0,37,50,0.29,18,1903-08-25,5,1,0,0,0
1903,SEP,72.8,50.2,61.5,85,03,35,30,0,0,0,0,0,0,0,113,15,0.23,15,1903-09-07,5,1,0,0,0
1903,OCT,62.7,44.9,53.8,76,22,33,30,0,0,0,0,0,0,0,340,0,1.65,43,1903-10-09,10,7,0,0,0
1903,NOV,50.9,40.6,45.8,63,01,33,17,0,0,0,0,0,0,0,572,0,8.28,18,1903-11-06,23,18,5,1,0
1903,DEC,47.1,35.7,41.4,55,16,27,09,0,0,0,0,15,0,0,725,0,1.95,49,1903-12-16,13,7,0,0,0
1903,ANNUAL,60.5,44.2,52.34,98,,23,,1,3,0,1,43,0,0,4656,140,24.56,,2.00,122,71,8,2,1

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,JAN,46.6,37.2,41.9,57,12,30,29,0,0,0,0,7,0,0,708,0,3.78,98,1904-01-10,19,11,1,0,0
1904,FEB,46.8,36.1,41.4,55,22,30,09,0,0,0,0,4,0,0,677,0,9.47,58,1904-02-15,24,21,6,2,0
1904,MAR,48.8,38.5,43.6,58,31,29,02,0,0,0,0,4,0,0,655,0,9.04,84,1904-03-03,26,21,5,0,0
