Monthly Climate Data Summaries ( por - por )

Station:,LEXINGTON BLUEGRASS AP,State:,KY,ID:,93820
Latitude:,38.0408 degreeN,Longitude:,84.6058 degreeW,Elevation:,980.0 feet
Station period of record:,maxt: 10/11/1872-10/22/2019; mint: 10/11/1872-10/22/2019; avgt: 10/11/1872-10/22/2019; hdd: 10/11/1872-10/22/2019; cdd: 10/11/1872-10/22/2019; pcpn: 10/11/1872-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1898,ANNUAL,65.4,47.4,56.85,96,,-1,,13,16,13,13,85,0,2,4068,1382,60.52,,3.77,154,96,44,13,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1899,JAN,41.2,26.4,33.8,63,04,4,31,0,0,9,0,20,0,0,960,0,6.69,58,1899-01-13,15,9,4,2,0
1899,FEB,31.4,17.6,24.5,59,28,-20,13,0,0,12,0,21,0,8,1127,0,2.84,67,1899-02-26,14,9,1,0,0
1899,MAR,51.5,33.0,42.2,70,11,1,07,0,0,2,0,13,0,0,698,0,8.61,77,1899-03-28,19,12,5,4,0
1899,APR,64.3,48.4,57.0,86,30,24,02,1,0,0,1,7,0,0,285,67,2.16,68,1899-04-07,11,5,2,0,0
1899,MAY,74.8,58.6,66.7,87,16,46,23,0,0,0,0,0,0,0,59,118,3.63,38,1899-05-12,16,8,1,1,0
1899,JUN,84.0,65.3,74.6,95,23,51,18,0,8,0,0,0,2,0,4,301,2.55,10,1899-06-10,9,5,2,1,0
1899,JUL,87.6,66.7,77.2,95,16,55,09,0,14,0,0,0,0,0,0,386,0.97,35,1899-07-25,8,4,0,0,0
1899,AUG,86.5,67.4,76.9,95,03,59,08,0,9,0,0,0,0,0,0,379,4.18,66,1899-08-06,8,6,3,2,0
1899,SEP,78.3,57.0,67.6,98,06,32,30,0,8,0,0,1,1,0,109,197,1.90,77,1899-09-25,5,5,1,0,0
1899,OCT,70.1,51.2,60.6,84,14,37,01,0,0,0,0,0,0,0,161,35,2.09,70,1899-10-17,7,5,2,0,0
1899,NOV,55.7,40.7,48.2,70,10,32,28,0,0,0,0,4,0,0,497,0,1.70,64,1899-11-22,10,5,1,0,0
1899,DEC,40.7,26.1,33.4,62,11,-1,31,0,0,10,0,23,0,1,972,0,2.91,74,1899-12-11,12,7,3,0,0
1899,ANNUAL,64.0,46.7,55.41,98,,-20,,1,39,33,1,89,3,9,4872,1483,40.23,,2.58,134,80,25,10,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1900,JAN,43.5,28.0,35.8,62,17,-1,29,0,0,7,0,14,0,1,897,0,2.13,84,1900-01-11,11,5,1,0,0
1900,FEB,40.1,22.1,31.1,68,08,-4,25,0,0,7,0,23,0,2,943,0,3.17,71,1900-02-08,14,9,3,0,0
1900,MAR,48.1,30.2,39.1,67,11,4,17,0,0,2,0,19,0,0,795,0,1.98,39,1900-03-19,11,7,0,0,0
